Product Title,Product Price,Product Asin,Product URL
"Xbox Wireless Headset – Xbox Series X|S, Xbox One, and Windows Devices",$112.52,B08WFD42G5,https://www.amazon.com/Xbox-Wireless-Headset-One-Windows-Devices/dp/B08WFD42G5/ref=sr_1_1?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-1
"Seagate (STGD2000100) Game Drive for PS4 Systems 2TB External Hard Drive Portable HDD â€“ USB 3.0, Officially Licensed Product",$112.52,B07M9VCHDG,https://www.amazon.com/Seagate-Drive-Systems-External-Portable/dp/B07M9VCHDG/ref=sr_1_2?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-2
"Xbox Core Wireless Controller – Electric Volt – Xbox Series X|S, Xbox One, and Windows Devices",$112.52,B08ZNQN1FP,https://www.amazon.com/Xbox-Wireless-Controller-Electric-Windows-Devices/dp/B08ZNQN1FP/ref=sr_1_3?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-3
"Logitech G915 TKL Tenkeyless Lightspeed Wireless RGB Mechanical Gaming Keyboard, Low Profile Switch Options, Lightsync RGB, Advanced Wireless and Bluetooth Support - Tactile,Black",$112.52,B085RLZ1C4,https://www.amazon.com/Logitech-Tenkeyless-Lightspeed-Mechanical-LIGHTSYNC/dp/B085RLZ1C4/ref=sr_1_4?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-4
"WD_BLACK 4TB P10 Game Drive - Portable External Hard Drive HDD, Compatible with Playstation, Xbox, PC, & Mac - WDBA3A0040BBK-WESN",$112.52,B07VNTFK87,https://www.amazon.com/WD_Black-Drive-External-Compatible-WDBA3A0040BBK-WESN/dp/B07VNTFK87/ref=sr_1_5?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-5
"MSI Force GC30V2 Wireless Gaming Controller, Dual Vibration Motors, Dual Connection Modes, Interchangable D-Pads, Compatible with PC & Android",$112.52,B09PFBX39L,https://www.amazon.com/MSI-Force-Controller-Connection-Interchangable/dp/B09PFBX39L/ref=sr_1_6?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-6
"HyperX CloudX Stinger Core - Official Licensed for Xbox, Gaming Headset with In-Line Audio Control, Immersive In-Game , Microphone",$112.52,B07KYC1VL7,https://www.amazon.com/HyperX-CloudX-Stinger-Core-HX-HSCSCX-BK/dp/B07KYC1VL7/ref=sr_1_7?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-7
"HyperX Cloud III – Wired Gaming Headset, PC, PS5, Xbox Series X|S, Angled 53mm Drivers, DTS, Memory Foam, Durable Frame, Ultra-Clear 10mm Mic, USB-C, USB-A, 3.5mm – Black",$112.52,B0C3BSZ56D,https://www.amazon.com/HyperX-Cloud-III-Ultra-Clear-USB/dp/B0C3BSZ56D/ref=sr_1_8?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-8
"HyperX CloudX Stinger - Official Xbox Licensed Gaming Headset, Lightweight, Rotating Ear Cups, Memory Foam, Comfort, Durability, Steel Sliders, Swivel-to-Mute Noise-Cancellation Microphone",$112.52,B07WJRF4XY,https://www.amazon.com/HyperX-Cloudx-Stinger-Line-Game/dp/B07WJRF4XY/ref=sr_1_9?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-9
"Logitech G502 X Plus Lightspeed Wireless Optical Mouse - LIGHTFORCE hybrid switches, LIGHTSYNC RGB, HERO 25K gaming sensor, compatible with PC - macOS/Windows - White",$112.52,B092CGJ1S5,https://www.amazon.com/Logitech-G-Artanis-WL-White/dp/B092CGJ1S5/ref=sr_1_10?m=A3DQZEP4SGW5UA&qid=1699704002&s=merchant-items&sr=1-10
